geoid,by,pollutant,adjr,sigma,df.residual,formula
d05085,16,98,0.9937833393621643,3667.533929110568,4,"poly(vmt, 2) + poly(vehicles, 2) + poly(sourcehours, 2) + poly(starts, 2) + year"
d05087,16,98,0.9768201841520009,1530.0937955946397,4,"poly(vmt, 2) + poly(vehicles, 2) + poly(sourcehours, 2) + poly(starts, 2) + year"
d05089,16,98,0.9759304667628427,1202.564855863468,4,"poly(vmt, 2) + poly(vehicles, 2) + poly(sourcehours, 2) + poly(starts, 2) + year"
d05091,16,98,0.9941940512182835,2151.6401639262563,4,"poly(vmt, 2) + poly(vehicles, 2) + poly(sourcehours, 2) + poly(starts, 2) + year"
d05093,16,98,0.9937594125955127,2897.184208883704,4,"poly(vmt, 2) + poly(vehicles, 2) + poly(sourcehours, 2) + poly(starts, 2) + year"
d05095,16,98,0.9582772021212522,3099.1391889981733,4,"poly(vmt, 2) + poly(vehicles, 2) + poly(sourcehours, 2) + poly(starts, 2) + year"
d05097,16,98,0.973799297121331,933.0896517760983,4,"poly(vmt, 2) + poly(vehicles, 2) + poly(sourcehours, 2) + poly(starts, 2) + year"
d05099,16,98,0.9738479593271431,2348.207760762665,4,"poly(vmt, 2) + poly(vehicles, 2) + poly(sourcehours, 2) + poly(starts, 2) + year"
d05101,16,98,0.9741007002303679,576.5594223370932,4,"poly(vmt, 2) + poly(vehicles, 2) + poly(sourcehours, 2) + poly(starts, 2) + year"
d05103,16,98,0.993689472453571,996.2882288942965,4,"poly(vmt, 2) + poly(vehicles, 2) + poly(sourcehours, 2) + poly(starts, 2) + year"
d05105,16,98,0.974949144991619,837.3642359363537,4,"poly(vmt, 2) + poly(vehicles, 2) + poly(sourcehours, 2) + poly(starts, 2) + year"
d05107,16,98,0.9940100506873916,642.849907570533,4,"poly(vmt, 2) + poly(vehicles, 2) + poly(sourcehours, 2) + poly(starts, 2) + year"
d05109,16,98,0.9763199265873568,905.9106479596803,4,"poly(vmt, 2) + poly(vehicles, 2) + poly(sourcehours, 2) + poly(starts, 2) + year"
d05111,16,98,0.9926090954191636,1557.4612364684417,4,"poly(vmt, 2) + poly(vehicles, 2) + poly(sourcehours, 2) + poly(starts, 2) + year"
d05113,16,98,0.9934624016834139,709.6618715181673,4,"poly(vmt, 2) + poly(vehicles, 2) + poly(sourcehours, 2) + poly(starts, 2) + year"
d05115,16,98,0.9943651748846674,2490.1178128813713,4,"poly(vmt, 2) + poly(vehicles, 2) + poly(sourcehours, 2) + poly(starts, 2) + year"
d05117,16,98,0.9766589439363802,3627.3357486815803,4,"poly(vmt, 2) + poly(vehicles, 2) + poly(sourcehours, 2) + poly(starts, 2) + year"
d05119,16,98,0.992494916890144,16229.00569021565,4,"poly(vmt, 2) + poly(vehicles, 2) + poly(sourcehours, 2) + poly(starts, 2) + year"
d05121,16,98,0.9936162969379542,686.715995183791,4,"poly(vmt, 2) + poly(vehicles, 2) + poly(sourcehours, 2) + poly(starts, 2) + year"
d05123,16,98,0.9952149325486537,3306.2367973682963,4,"poly(vmt, 2) + poly(vehicles, 2) + poly(sourcehours, 2) + poly(starts, 2) + year"
